,cell_type,silhouette_score
cell41550,stromal cell of lamina propria of colon,0.7137080666123881
cell41551,stromal cell of lamina propria of colon,0.7724371881922883
cell41552,stromal cell of lamina propria of colon,0.7807974407452193
cell41553,stromal cell of lamina propria of colon,0.7692492319442464
cell41554,stromal cell of lamina propria of colon,0.7823491375939896
cell41555,stromal cell of lamina propria of colon,0.7857745511930697
cell41556,stromal cell of lamina propria of colon,0.783995916295062
cell41557,stromal cell of lamina propria of colon,-0.07887507294507322
cell41558,stromal cell of lamina propria of colon,0.7834577579710846
cell41559,stromal cell of lamina propria of colon,0.7868359116823651
cell41560,stromal cell of lamina propria of colon,0.7677482968464043
cell41561,stromal cell of lamina propria of colon,0.7842297736944231
cell41562,stromal cell of lamina propria of colon,0.7733109560336427
cell41563,stromal cell of lamina propria of colon,0.7714932971646454
cell41564,stromal cell of lamina propria of colon,0.7858976922182942
cell41565,stromal cell of lamina propria of colon,0.7741259304789007
cell41566,stromal cell of lamina propria of colon,-0.13100910841038763
cell41567,stromal cell of lamina propria of colon,0.7702478805900861
cell41568,stromal cell of lamina propria of colon,0.5572610334372347
cell41569,stromal cell of lamina propria of colon,0.7894722859980305
cell41570,stromal cell of lamina propria of colon,0.7883536682983576
cell41571,stromal cell of lamina propria of colon,0.77493404958575
cell41572,stromal cell of lamina propria of colon,0.7691072297248506
cell41573,stromal cell of lamina propria of colon,0.7310947546262861
cell41574,stromal cell of lamina propria of colon,0.7688282489427014
cell41575,stromal cell of lamina propria of colon,0.77029463586572
cell41576,stromal cell of lamina propria of colon,0.7859436023349018
cell41577,stromal cell of lamina propria of colon,-0.13719123698738397
cell41578,stromal cell of lamina propria of colon,0.7414484046822727
cell41579,stromal cell of lamina propria of colon,-0.13364196585842328
cell41580,stromal cell of lamina propria of colon,0.7771836747996996
cell41581,stromal cell of lamina propria of colon,0.7793430773901149
cell41582,stromal cell of lamina propria of colon,0.7330059303232654
cell41583,stromal cell of lamina propria of colon,0.7652690192529181
cell41584,stromal cell of lamina propria of colon,0.7755535947664824
cell41585,stromal cell of lamina propria of colon,0.7877948333097065
cell41586,stromal cell of lamina propria of colon,0.7841685738623028
cell41587,stromal cell of lamina propria of colon,0.790388976037917
cell41588,stromal cell of lamina propria of colon,0.7809188097118627
cell41589,stromal cell of lamina propria of colon,0.5313817722950543
cell41590,stromal cell of lamina propria of colon,0.7808557276411063
cell41591,stromal cell of lamina propria of colon,0.7817718454081966
cell41592,stromal cell of lamina propria of colon,-0.13718939197645788
cell41593,stromal cell of lamina propria of colon,0.7645690239425097
cell41594,stromal cell of lamina propria of colon,0.7925096609144463
cell41595,stromal cell of lamina propria of colon,0.7712067557457354
cell41596,stromal cell of lamina propria of colon,0.7668140486359147
cell41597,stromal cell of lamina propria of colon,0.7796863741475236
cell41598,stromal cell of lamina propria of colon,0.7661849983028313
cell41599,stromal cell of lamina propria of colon,0.7896230960442812
cell41600,stromal cell of lamina propria of colon,0.7887662536209847
cell41601,stromal cell of lamina propria of colon,0.7695085128571805
cell41602,stromal cell of lamina propria of colon,0.7847031226732502
cell41603,stromal cell of lamina propria of colon,0.7834326717087549
cell41604,stromal cell of lamina propria of colon,0.7720637011131097
cell41605,stromal cell of lamina propria of colon,0.5600979673817031
cell41606,stromal cell of lamina propria of colon,0.7591280238326963
cell41607,stromal cell of lamina propria of colon,0.7704696684836307
cell41608,stromal cell of lamina propria of colon,0.7616947969718496
cell41609,stromal cell of lamina propria of colon,0.5642630091320948
cell41610,stromal cell of lamina propria of colon,0.7865594783254006
cell41611,stromal cell of lamina propria of colon,0.7640131779705133
cell41612,stromal cell of lamina propria of colon,0.7824910521711865
cell41613,stromal cell of lamina propria of colon,0.7693399130250248
cell41614,stromal cell of lamina propria of colon,0.7864005470544099
cell41615,stromal cell of lamina propria of colon,0.7878618259929542
cell41616,stromal cell of lamina propria of colon,0.7625461381664123
cell41617,stromal cell of lamina propria of colon,0.7710698479619149
cell41618,stromal cell of lamina propria of colon,0.5354986725464493
cell41619,stromal cell of lamina propria of colon,0.7909031474329247
cell41620,stromal cell of lamina propria of colon,0.7795748920120983
cell41621,stromal cell of lamina propria of colon,0.7551644730408882
cell41622,stromal cell of lamina propria of colon,0.7844812525501104
cell41623,stromal cell of lamina propria of colon,0.7786295032881639
cell41624,stromal cell of lamina propria of colon,0.7781029430886515
cell41625,stromal cell of lamina propria of colon,0.7817028372897898
cell41626,stromal cell of lamina propria of colon,0.7880101329329872
cell41627,stromal cell of lamina propria of colon,0.7655031348287532
cell41628,stromal cell of lamina propria of colon,0.7720999509380232
cell41629,stromal cell of lamina propria of colon,0.7700493398719509
cell41630,stromal cell of lamina propria of colon,0.6454166677400061
cell41631,stromal cell of lamina propria of colon,0.7224135103889616
cell41632,stromal cell of lamina propria of colon,0.7853852257500863
cell41633,stromal cell of lamina propria of colon,0.741978286307396
cell41634,stromal cell of lamina propria of colon,-0.13580212504276057
cell41635,stromal cell of lamina propria of colon,0.7796647968770524
cell41636,stromal cell of lamina propria of colon,-0.13722568517428516
cell41637,stromal cell of lamina propria of colon,0.7885964876010663
cell41638,stromal cell of lamina propria of colon,0.7921702911789948
cell41639,stromal cell of lamina propria of colon,0.7610665723638208
cell41640,stromal cell of lamina propria of colon,0.7668680411551448
cell41641,stromal cell of lamina propria of colon,0.7697841738809607
cell41642,stromal cell of lamina propria of colon,0.7654332696960243
cell41643,stromal cell of lamina propria of colon,0.7648547905700472
cell41644,stromal cell of lamina propria of colon,0.7587124920131625
cell41645,stromal cell of lamina propria of colon,-0.13623352275697573
cell41646,stromal cell of lamina propria of colon,0.7774462859784087
cell41647,stromal cell of lamina propria of colon,0.7732626497197757
cell41648,stromal cell of lamina propria of colon,0.7846415548661909
cell41649,stromal cell of lamina propria of colon,-0.08073489388460174
cell41650,stromal cell of lamina propria of colon,0.7830914203875011
cell41651,stromal cell of lamina propria of colon,0.7845507435406529
cell41652,stromal cell of lamina propria of colon,-0.06880625451553292
cell41653,stromal cell of lamina propria of colon,0.7487122522974594
cell41654,stromal cell of lamina propria of colon,0.7801563943414693
cell41655,stromal cell of lamina propria of colon,0.7684634716057556
cell41656,stromal cell of lamina propria of colon,0.5542697828336974
cell41657,stromal cell of lamina propria of colon,0.7919266187428535
cell41658,stromal cell of lamina propria of colon,0.7877691396480799
cell41659,stromal cell of lamina propria of colon,0.7667046206778679
cell41660,stromal cell of lamina propria of colon,0.7798879728123421
cell41661,stromal cell of lamina propria of colon,0.7678631639568547
cell41662,stromal cell of lamina propria of colon,-0.08661462113568123
cell41663,stromal cell of lamina propria of colon,0.7820888062373101
cell41664,stromal cell of lamina propria of colon,0.7750051241028192
cell41665,stromal cell of lamina propria of colon,0.7603947632799437
cell41666,stromal cell of lamina propria of colon,-0.12945259962246947
cell41667,stromal cell of lamina propria of colon,0.7474756070699747
cell41668,stromal cell of lamina propria of colon,0.7694278337756622
cell41669,stromal cell of lamina propria of colon,0.7788529910037794
cell41670,stromal cell of lamina propria of colon,0.7584978409752079
cell41671,stromal cell of lamina propria of colon,0.7813836356880753
cell41672,stromal cell of lamina propria of colon,0.7830368035517015
cell41673,stromal cell of lamina propria of colon,0.7811214940974369
cell41674,stromal cell of lamina propria of colon,0.7619536264209221
cell41675,stromal cell of lamina propria of colon,0.7603214564774607
cell41676,stromal cell of lamina propria of colon,0.7819308834734342
cell41677,stromal cell of lamina propria of colon,-0.10811214635342803
cell41678,stromal cell of lamina propria of colon,0.7838657534751234
cell41679,stromal cell of lamina propria of colon,0.7885061843976744
cell41680,stromal cell of lamina propria of colon,0.787426520696328
cell41681,stromal cell of lamina propria of colon,0.7913175989919111
cell41682,stromal cell of lamina propria of colon,0.7849868698904029
cell41683,stromal cell of lamina propria of colon,0.7885022462838615
cell41684,stromal cell of lamina propria of colon,0.7840568180239227
cell41685,stromal cell of lamina propria of colon,0.7813733309885009
cell41686,stromal cell of lamina propria of colon,0.7924763973885994
cell41687,stromal cell of lamina propria of colon,0.7808464278427133
cell41688,stromal cell of lamina propria of colon,-0.13189546864786203
cell41689,stromal cell of lamina propria of colon,0.754028332203566
cell41690,stromal cell of lamina propria of colon,0.7834132161814417
cell41691,stromal cell of lamina propria of colon,0.781268987149462
cell41692,stromal cell of lamina propria of colon,0.764707844607476
cell41693,stromal cell of lamina propria of colon,0.7617069161450678
cell41694,stromal cell of lamina propria of colon,0.5753732537437797
cell41695,stromal cell of lamina propria of colon,0.7848688078820365
cell41696,stromal cell of lamina propria of colon,0.738952165255441
cell41697,stromal cell of lamina propria of colon,0.7909152741276432
cell41698,stromal cell of lamina propria of colon,0.56486118250158
cell41699,stromal cell of lamina propria of colon,0.7889652521630646
cell41700,stromal cell of lamina propria of colon,-0.08143012822970618
cell41701,stromal cell of lamina propria of colon,0.7801024377166049
cell41702,stromal cell of lamina propria of colon,0.7636860741328867
cell41703,stromal cell of lamina propria of colon,0.7611847941055085
cell41704,stromal cell of lamina propria of colon,0.7926549677929374
cell41705,stromal cell of lamina propria of colon,0.7789949110555259
cell41706,stromal cell of lamina propria of colon,-0.13075307096893318
cell41707,stromal cell of lamina propria of colon,0.7708913628515018
cell41708,stromal cell of lamina propria of colon,0.7915592788821132
cell41709,stromal cell of lamina propria of colon,0.7913976192385316
cell41710,stromal cell of lamina propria of colon,0.7807626657346121
cell41711,stromal cell of lamina propria of colon,0.7879258236212967
cell41712,stromal cell of lamina propria of colon,0.7894296613537202
cell41713,stromal cell of lamina propria of colon,0.7013933475488646
cell41714,stromal cell of lamina propria of colon,0.7734921028637068
cell41715,stromal cell of lamina propria of colon,0.7894296675640226
cell41716,stromal cell of lamina propria of colon,0.7900135089387023
cell41717,stromal cell of lamina propria of colon,0.7858661868622758
cell41718,stromal cell of lamina propria of colon,0.5274782210811172
cell41719,stromal cell of lamina propria of colon,0.5601045901967413
